player,mins,goals,assists,ga,wcs,fw,squad,ga90
Enrique Borja,338,1,0.0,1.0,2,True,mxMexico,0.2662721893491124
Enrique Saura,229,1,0.0,1.0,1,True,esSpain,0.3930131004366812
Enzo Francescoli,713,1,0.0,1.0,2,True,uyUruguay,0.12622720897615708
Eren Derdiyok,191,0,0.0,0.0,1,True,chSwitzerland,0.0
Eric Maxim Choupo-Moting,642,1,0.0,1.0,3,True,cmCameroon,0.14018691588785046
Eric Wynalda,431,1,0.0,1.0,3,True,usUnited States,0.2088167053364269
Erik Jendrišek,249,0,0.0,0.0,1,True,skSlovakia,0.0
Ermindo Onega,360,1,0.0,1.0,1,True,arArgentina,0.25
Ernesto Aparicio,156,0,0.0,0.0,1,True,svEl Salvador,0.0
Ernesto Cisneros,90,0,0.0,0.0,1,True,mxMexico,0.0
Erwin Vandenbergh,515,2,0.0,2.0,2,True,beBelgium,0.34951456310679613
Eusébio,540,9,0.0,9.0,1,True,ptPortugal,1.5
Euzebiusz Smolarek,264,0,0.0,0.0,1,True,plPoland,0.0
Ever Hernández,90,0,0.0,0.0,1,True,svEl Salvador,0.0
Everaldo,419,0,0.0,0.0,1,True,brBrazil,0.0
Ezequiel Lavezzi,354,0,1.0,1.0,1,True,arArgentina,0.2542372881355932
Ezio Pascutti,90,0,0.0,0.0,1,True,itItaly,0.0
Facundo Pellistri,181,0,0.0,0.0,1,True,uyUruguay,0.0
Fahad Al Muwallad,182,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Fahad Al-Bishi,332,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Fahad Khamees,101,0,0.0,0.0,1,True,aeUAE,0.0
Faisal Al-Dakhil,270,1,0.0,1.0,1,True,kwKuwait,0.33333333333333337
Fakhreddine Ben Youssef,270,1,0.0,1.0,1,True,tnTunisia,0.33333333333333337
Famara Diedhiou,92,1,0.0,1.0,1,True,snSenegal,0.9782608695652174
Fathi Kameel,169,0,0.0,0.0,1,True,kwKuwait,0.0
Faustino Asprilla,308,0,0.0,0.0,2,True,coColombia,0.0
Felipe Caicedo,151,0,0.0,0.0,1,True,ecEcuador,0.0
Ferenc Bene,360,4,0.0,4.0,1,True,huHungary,1.0
Fernando Gomes,207,0,0.0,0.0,1,True,ptPortugal,0.0
Fernando Morena,270,0,0.0,0.0,1,True,uyUruguay,0.0
Fernando Morientes,465,5,0.0,5.0,2,True,esSpain,0.967741935483871
Fernando Torres,726,4,0.0,4.0,3,True,esSpain,0.49586776859504134
Ferrán Torres,217,2,0.0,2.0,1,True,esSpain,0.8294930875576036
Filippo Inzaghi,148,1,1.0,2.0,3,True,itItaly,1.2162162162162162
Finidi George,654,1,1.0,2.0,2,True,ngNigeria,0.27522935779816515
Firas Al-Buraikan,268,0,1.0,1.0,1,True,saSaudi Arabia,0.33582089552238803
Florea Dumitrache,251,2,0.0,2.0,1,True,roRomania,0.7171314741035857
Florent Malouda,652,1,0.0,1.0,2,True,frFrance,0.13803680981595093
Florin Răducioiu,596,4,0.0,4.0,2,True,roRomania,0.6040268456375839
Flórián Albert,360,0,0.0,0.0,1,True,huHungary,0.0
Francesco Graziani,566,1,0.0,1.0,2,True,itItaly,0.15901060070671377
Francesco Totti,807,1,0.0,1.0,2,True,itItaly,0.11152416356877323
Francis Lee,256,0,0.0,0.0,1,True,engEngland,0.0
Francisco Fonseca,266,1,0.0,1.0,1,True,mxMexico,0.3383458646616541
Francisco Gento,180,0,0.0,0.0,1,True,esSpain,0.0
Francisco Palencia,120,0,0.0,0.0,2,True,mxMexico,0.0
Franck Ribéry,782,1,0.0,1.0,2,True,frFrance,0.11508951406649617
František Veselý,186,0,0.0,0.0,1,True,csCzechoslovakia,0.0
François Omam-Biyik,1018,2,1.0,3.0,3,True,cmCameroon,0.26522593320235754
François Van der Elst,90,0,0.0,0.0,1,True,beBelgium,0.0
Fred,616,2,0.0,2.0,3,True,brBrazil,0.29220779220779225
Freddie Ljungberg,540,1,0.0,1.0,2,True,seSweden,0.16666666666666669
Fritz Künzli,180,0,0.0,0.0,1,True,chSwitzerland,0.0
Fyodor Smolov,222,0,0.0,0.0,1,True,ruRussia,0.0
Gabi Balint,230,2,0.0,2.0,1,True,roRomania,0.782608695652174
Gabriel Batistuta,983,10,0.0,10.0,3,True,arArgentina,0.9155645981688708
Gabriel Caballero,109,0,0.0,0.0,1,True,mxMexico,0.0
Gabriel Calderón,488,0,0.0,0.0,2,True,arArgentina,0.0
Gabriel Jesus,497,0,1.0,1.0,2,True,brBrazil,0.18108651911468815
Gabriel Martinelli,113,0,0.0,0.0,1,True,brBrazil,0.0
Galimzyan Khusainov,360,0,0.0,0.0,1,True,suSoviet Union,0.0
Gamal Abdel-Hameed,160,0,0.0,0.0,1,True,egEgypt,0.0
Gareth Bale,225,1,0.0,1.0,1,True,wlsWales,0.4
Garrincha,180,1,0.0,1.0,1,True,brBrazil,0.5
Gary Lineker,1157,10,0.0,10.0,2,True,engEngland,0.7778738115816768
Gaston Taument,132,1,0.0,1.0,1,True,nlNetherlands,0.6818181818181819
Gennady Yevryuzhikhin,345,0,0.0,0.0,1,True,suSoviet Union,0.0
Geoff Hurst,600,5,0.0,5.0,2,True,engEngland,0.75
Georges Bregy,360,1,0.0,1.0,1,True,chSwitzerland,0.25
Georgi Asparuhov,468,1,0.0,1.0,2,True,bgBulgaria,0.19230769230769232
Georgi Bachev,97,0,0.0,0.0,1,True,bgBulgaria,0.0
Georgi Popov,148,0,0.0,0.0,1,True,bgBulgaria,0.0
Georginio Wijnaldum,552,1,0.0,1.0,1,True,nlNetherlands,0.16304347826086957
Georgios Samaras,592,1,1.0,2.0,2,True,grGreece,0.30405405405405406
Gerd Kische,540,0,0.0,0.0,1,True,Germany DR,0.0
Gerd Müller,1230,14,0.0,14.0,2,True,deWest Germany,1.024390243902439
Gerhard Rodax,173,1,0.0,1.0,1,True,atAustria,0.5202312138728323
Gernot Jurtin,102,0,0.0,0.0,1,True,atAustria,0.0
Gerry Armstrong,470,3,0.0,3.0,2,True,nirNorthern Ireland,0.5744680851063829
Gert Verheyen,331,0,0.0,0.0,2,True,beBelgium,0.0
Gervinho,443,2,1.0,3.0,2,True,ciCôte d'Ivoire,0.6094808126410836
Gerónimo Barbadillo,139,0,0.0,0.0,1,True,pePeru,0.0
Ghafour Jahani,220,0,0.0,0.0,1,True,irIR Iran,0.0
Gheorghe Popescu,1199,0,0.0,0.0,3,True,roRomania,0.0
Gheorghe Tătaru,113,0,0.0,0.0,1,True,roRomania,0.0
Gianluca Vialli,337,0,0.0,0.0,2,True,itItaly,0.0
