player,mins,goals,assists,ga,wcs,fw,squad,ga90
Aaron Lennon,256,0,0.0,0.0,2,True,engEngland,0.0
Aarón Padilla Gutiérrez,540,0,0.0,0.0,2,True,mxMexico,0.0
Abde Ezzalzouli,93,0,0.0,0.0,1,True,maMorocco,0.0
Abdeljalil Hadda,262,2,1.0,3.0,1,True,maMorocco,1.0305343511450382
Abdelkrim Merry,360,1,0.0,1.0,1,True,maMorocco,0.25
Abdul Kader Keïta,243,0,0.0,0.0,2,True,ciCôte d'Ivoire,0.0
Abdulaziz Al-Anberi,270,0,0.0,0.0,1,True,kwKuwait,0.0
Abdullah Al-Buloushi,270,1,0.0,1.0,1,True,kwKuwait,0.33333333333333337
Abel Balbo,450,1,0.0,1.0,3,True,arArgentina,0.2
Adam Lallana,92,0,0.0,0.0,1,True,engEngland,0.0
Adel Sellimi,337,0,0.0,0.0,2,True,tnTunisia,0.0
Admir Mehmedi,337,1,0.0,1.0,1,True,chSwitzerland,0.26706231454005935
Adnan Al Talyani,270,0,0.0,0.0,1,True,aeUAE,0.0
Adnan Januzaj,144,1,0.0,1.0,2,True,beBelgium,0.625
Adolfo Valencia,342,2,0.0,2.0,2,True,coColombia,0.5263157894736842
Adrian Alston,244,0,0.0,0.0,1,True,auAustralia,0.0
Adrian Ilie,315,1,0.0,1.0,1,True,roRomania,0.2857142857142857
Adrian Knup,260,2,0.0,2.0,1,True,chSwitzerland,0.6923076923076923
Adriano,265,2,0.0,2.0,1,True,brBrazil,0.6792452830188679
Adrián Ramos,141,0,1.0,1.0,1,True,coColombia,0.6382978723404256
Agustín Balbuena,309,0,0.0,0.0,1,True,arArgentina,0.0
Agustín Delgado,532,3,0.0,3.0,2,True,ecEcuador,0.5075187969924811
Ahmed Bahja,202,0,0.0,0.0,1,True,maMorocco,0.0
Ahmed El-Kass,241,0,0.0,0.0,1,True,egEgypt,0.0
Ahmed Musa,542,4,0.0,4.0,2,True,ngNigeria,0.6642066420664207
Ahmed Radhi,270,1,0.0,1.0,1,True,iqIraq,0.33333333333333337
Ahmed Ramzy,159,0,0.0,0.0,1,True,egEgypt,0.0
Ahn Jung-hwan,624,3,0.0,3.0,2,True,krKorea Republic,0.4326923076923077
Akinori Nishizawa,90,0,0.0,0.0,1,True,jpJapan,0.0
Akram Afif,270,0,0.0,0.0,1,True,qaQatar,0.0
Akwá,199,0,0.0,0.0,1,True,aoAngola,0.0
Al Hasan Al-Yami,222,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Alain Boghossian,221,0,0.0,0.0,1,True,frFrance,0.0
Alain Couriol,119,1,0.0,1.0,1,True,frFrance,0.7563025210084033
Alan McInally,90,0,0.0,0.0,1,True,sctScotland,0.0
Alan Shearer,390,2,1.0,3.0,1,True,engEngland,0.6923076923076923
Alberto Fouilloux,180,0,0.0,0.0,1,True,clChile,0.0
Alberto Gallardo,345,2,0.0,2.0,1,True,pePeru,0.5217391304347826
Alberto Gilardino,420,1,0.0,1.0,2,True,itItaly,0.2142857142857143
Alberto Mario González,360,0,0.0,0.0,1,True,arArgentina,0.0
Alcindo,180,0,0.0,0.0,1,True,brBrazil,0.0
Aldo Serena,111,1,0.0,1.0,1,True,itItaly,0.8108108108108109
Alejandro Bedoya,283,0,0.0,0.0,1,True,usUnited States,0.0
Aleksandar Kostov,90,0,0.0,0.0,1,True,bgBulgaria,0.0
Aleksandar Mitrović,528,3,0.0,3.0,2,True,rsSerbia,0.5113636363636364
Aleksandr Golovin,401,1,2.0,3.0,1,True,ruRussia,0.6733167082294265
Aleksandr Kerzhakov,110,1,0.0,1.0,2,True,ruRussia,0.8181818181818181
Aleksandr Kokorin,270,1,0.0,1.0,1,True,ruRussia,0.33333333333333337
Alen Bokšić,246,0,0.0,0.0,1,True,hrCroatia,0.0
Alessandro Altobelli,474,5,0.0,5.0,2,True,itItaly,0.9493670886075949
Alessandro Del Piero,501,2,1.0,3.0,3,True,itItaly,0.5389221556886228
Alexander Frei,445,2,0.0,2.0,2,True,chSwitzerland,0.40449438202247195
Alexandre Czerniatynski,399,1,0.0,1.0,2,True,beBelgium,0.22556390977443608
Alexandru Neagu,198,1,0.0,1.0,1,True,roRomania,0.4545454545454546
Alexis Alexandris,90,0,0.0,0.0,1,True,grGreece,0.0
Alexis Sánchez,724,2,1.0,3.0,2,True,clChile,0.3729281767955801
Alexis Vega,193,0,0.0,0.0,1,True,mxMexico,0.0
Alfonso Pérez,121,0,0.0,0.0,1,True,esSpain,0.0
Alfredo Mendoza,305,0,0.0,0.0,1,True,pyParaguay,0.0
Alfreð Finnbogason,262,1,0.0,1.0,1,True,isIceland,0.34351145038167935
Ali Daei,450,0,1.0,1.0,2,True,irIR Iran,0.2
Ali Gholizadeh,199,0,1.0,1.0,1,True,irIR Iran,0.45226130653266333
Ali Karimi,225,0,0.0,0.0,2,True,irIR Iran,0.0
Ali Parvin,270,0,0.0,0.0,1,True,irIR Iran,0.0
Alireza Jahanbakhsh,276,0,0.0,0.0,3,True,irIR Iran,0.0
Allan Clarke,90,1,0.0,1.0,1,True,engEngland,1.0
Ally McCoist,103,0,0.0,0.0,1,True,sctScotland,0.0
Almoez Ali,224,0,0.0,0.0,1,True,qaQatar,0.0
Alphonse Tchami,94,0,0.0,0.0,2,True,cmCameroon,0.0
Alphonso Davies,270,1,0.0,1.0,1,True,caCanada,0.33333333333333337
Amancio Amaro,180,1,0.0,1.0,1,True,esSpain,0.5
Anatoliy Banishevskiy,450,1,0.0,1.0,1,True,suSoviet Union,0.2
Anatoliy Byshovets,390,4,0.0,4.0,1,True,suSoviet Union,0.9230769230769231
Anatoliy Puzach,90,0,0.0,0.0,1,True,suSoviet Union,0.0
Andraž Kirm,258,0,0.0,0.0,1,True,siSlovenia,0.0
Andrea Carnevale,124,0,0.0,0.0,1,True,itItaly,0.0
Andreas Andersson,139,0,0.0,0.0,1,True,seSweden,0.0
Andreas Cornelius,254,0,0.0,0.0,2,True,dkDenmark,0.0
Andreas Ogris,225,1,0.0,1.0,1,True,atAustria,0.4
Andreas Skov Olsen,132,0,0.0,0.0,1,True,dkDenmark,0.0
Andrej Kramarić,808,3,0.0,3.0,2,True,hrCroatia,0.3341584158415841
Andrej Kvašňák,135,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Andrew Nabbout,137,0,0.0,0.0,1,True,auAustralia,0.0
Andrija Živković,226,0,2.0,2.0,2,True,rsSerbia,0.7964601769911505
Andriy Shevchenko,472,2,0.0,2.0,1,True,uaUkraine,0.3813559322033898
Andriy Vorobey,245,0,0.0,0.0,1,True,uaUkraine,0.0
Andriy Voronin,368,0,0.0,0.0,1,True,uaUkraine,0.0
Andrzej Iwan,201,0,0.0,0.0,2,True,plPoland,0.0
Andrzej Pałasz,110,0,0.0,0.0,1,True,plPoland,0.0
Andrzej Szarmach,1000,7,0.0,7.0,3,True,plPoland,0.63
András Törőcsik,322,0,0.0,0.0,2,True,huHungary,0.0
André Ayew,848,3,0.0,3.0,3,True,ghGhana,0.31839622641509435
André Schürrle,249,3,1.0,4.0,1,True,deGermany,1.4457831325301203
André Silva,143,0,0.0,0.0,2,True,ptPortugal,0.0
André-Pierre Gignac,96,0,0.0,0.0,1,True,frFrance,0.0
Andrés Guardado,881,1,0.0,1.0,5,True,mxMexico,0.1021566401816118
Angelo Domenghini,473,1,0.0,1.0,1,True,itItaly,0.19027484143763215
Anice Badri,225,0,0.0,0.0,1,True,tnTunisia,0.0
Anis Ben Slimane,148,0,0.0,0.0,1,True,tnTunisia,0.0
Antal Nagy,196,0,0.0,0.0,1,True,huHungary,0.0
Ante Rebić,589,1,0.0,1.0,2,True,hrCroatia,0.15280135823429541
Anthony Contreras,125,0,0.0,0.0,1,True,crCosta Rica,0.0
Antoine Griezmann,1399,4,5.0,9.0,3,True,frFrance,0.5789849892780558
Antonio Alzamendi,263,1,0.0,1.0,2,True,uyUruguay,0.34220532319391633
Antonio Candreva,134,0,1.0,1.0,1,True,itItaly,0.6716417910447761
Antonio Di Natale,154,1,0.0,1.0,1,True,itItaly,0.5844155844155845
Antony de Ávila,208,0,0.0,0.0,2,True,coColombia,0.0
António Mendonça,270,0,0.0,0.0,1,True,aoAngola,0.0
António Simões,540,1,0.0,1.0,1,True,ptPortugal,0.16666666666666669
Ariel Ortega,870,2,2.0,4.0,3,True,arArgentina,0.41379310344827586
Arjen Robben,1346,6,1.0,7.0,3,True,nlNetherlands,0.46805349182763745
Arkadiusz Milik,173,0,0.0,0.0,2,True,plPoland,0.0
Armando Tobar,90,0,0.0,0.0,1,True,clChile,0.0
Arnoldo Iguarán,222,0,0.0,0.0,1,True,coColombia,0.0
Arouna Koné,176,0,0.0,0.0,1,True,ciCôte d'Ivoire,0.0
Artem Dzyuba,331,3,2.0,5.0,1,True,ruRussia,1.3595166163141994
Aruna Dindane,325,2,0.0,2.0,2,True,ciCôte d'Ivoire,0.5538461538461539
Arístides Rojas,126,0,1.0,1.0,1,True,pyParaguay,0.7142857142857142
Asamoah Gyan,1032,6,1.0,7.0,3,True,ghGhana,0.6104651162790697
Ashkan Dejagah,228,0,0.0,0.0,1,True,irIR Iran,0.0
Atanas Mihaylov,93,0,0.0,0.0,1,True,bgBulgaria,0.0
Atsushi Yanagisawa,363,0,0.0,0.0,2,True,jpJapan,0.0
Attila Abonyi,135,0,0.0,0.0,1,True,auAustralia,0.0
Ayoub El Kaabi,98,0,0.0,0.0,1,True,maMorocco,0.0
Aziz Bouderbala,360,0,0.0,0.0,1,True,maMorocco,0.0
Bakari Koné,121,1,0.0,1.0,1,True,ciCôte d'Ivoire,0.743801652892562
Bamba Dieng,100,1,0.0,1.0,1,True,snSenegal,0.9
Bartholomew Ogbeche,159,0,0.0,0.0,1,True,ngNigeria,0.0
Bebeto,1186,6,2.0,8.0,3,True,brBrazil,0.6070826306913997
Ben Halloran,90,0,0.0,0.0,1,True,auAustralia,0.0
Benedict Akwuegbu,90,0,0.0,0.0,1,True,ngNigeria,0.0
Benjamin Moukandjo,237,0,0.0,0.0,1,True,cmCameroon,0.0
Benni McCarthy,469,2,0.0,2.0,2,True,zaSouth Africa,0.3837953091684435
Benny Wendt,212,0,0.0,0.0,1,True,seSweden,0.0
Bernard,158,0,0.0,0.0,1,True,brBrazil,0.0
Bernard Diomède,222,0,0.0,0.0,1,True,frFrance,0.0
