player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Paul Scholes,MF,engEngland,329,1,0,1,0.27,0.00,0.27,1998
Markus Schopp,MF,atAustria,45,0,0,0,0.00,0.00,0.00,1998
Peter Schöttel,DF,atAustria,270,0,0,0,0.00,0.00,0.00,1998
Enzo Scifo,MF,beBelgium,154,0,0,0,0.00,0.00,0.00,1998
David Seaman,GK,engEngland,390,0,0,0,0.00,0.00,0.00,1998
Juan Sebastián Verón,MF,arArgentina,480,0,3,3,0.00,0.56,0.56,1998
Clarence Seedorf,MF,nlNetherlands,254,0,0,0,0.00,0.00,0.00,1998
Jamal Sellami,"DF,MF",maMorocco,4,0,0,0,0.00,0.00,0.00,1998
Adel Sellimi,FW,tnTunisia,247,0,0,0,0.00,0.00,0.00,1998
Roberto Sensini,DF,arArgentina,185,0,0,0,0.00,0.00,0.00,1998
Ha Seok-ju,MF,krKorea Republic,119,1,1,2,0.76,0.76,1.51,1998
Mauricio Serna,MF,coColombia,196,0,0,0,0.00,0.00,0.00,1998
Ibrahim Al-Shahrani,MF,saSaudi Arabia,207,0,0,0,0.00,0.00,0.00,1998
Alan Shearer,FW,engEngland,390,2,1,3,0.46,0.23,0.69,1998
Teddy Sheringham,FW,engEngland,155,0,0,0,0.00,0.00,0.00,1998
Jerry Sikhosana,FW,zaSouth Africa,45,0,0,0,0.00,0.00,0.00,1998
Diego Simeone,MF,arArgentina,373,0,0,0,0.00,0.00,0.00,1998
Dario Šimić,DF,hrCroatia,523,0,0,0,0.00,0.00,0.00,1998
Augustine Simo,MF,cmCameroon,64,0,0,0,0.00,0.00,0.00,1998
Fitzroy Simpson,MF,jmJamaica,268,0,0,0,0.00,0.00,0.00,1998
Frank Sinclair,DF,jmJamaica,270,0,0,0,0.00,0.00,0.00,1998
Ståle Solbakken,MF,noNorway,161,0,0,0,0.00,0.00,0.00,1998
Zvonimir Soldo,"DF,MF",hrCroatia,540,0,0,0,0.00,0.00,0.00,1998
Naoki Soma,"DF,MF",jpJapan,263,0,0,0,0.00,0.00,0.00,1998
Rigobert Song,DF,cmCameroon,230,0,0,0,0.00,0.00,0.00,1998
Jacques Songo'o,GK,cmCameroon,270,0,0,0,0.00,0.00,0.00,1998
Skander Souayah,MF,tnTunisia,224,1,0,1,0.40,0.00,0.40,1998
Gareth Southgate,DF,engEngland,140,0,0,0,0.00,0.00,0.00,1998
Lorenzo Staelens,"DF,MF",beBelgium,270,0,0,0,0.00,0.00,0.00,1998
Jaap Stam,DF,nlNetherlands,660,0,0,0,0.00,0.00,0.00,1998
Mario Stanić,"FW,MF",hrCroatia,616,1,2,3,0.15,0.29,0.44,1998
Dejan Stanković,MF,rsYugoslavia,159,0,0,0,0.00,0.00,0.00,1998
Bogdan Stelea,GK,roRomania,360,0,0,0,0.00,0.00,0.00,1998
Miroslav Stević,MF,rsYugoslavia,17,0,0,0,0.00,0.00,0.00,1998
Earnie Stewart,"FW,MF",usUnited States,214,0,0,0,0.00,0.00,0.00,1998
Igor Štimac,DF,hrCroatia,519,0,1,1,0.00,0.17,0.17,1998
Ovidiu Stîngă,MF,roRomania,32,0,0,0,0.00,0.00,0.00,1998
Peter Stöger,MF,atAustria,27,0,0,0,0.00,0.00,0.00,1998
Hristo Stoichkov,"FW,MF",bgBulgaria,225,0,0,0,0.00,0.00,0.00,1998
Dragan Stojković,MF,rsYugoslavia,273,1,0,1,0.33,0.00,0.33,1998
Roar Strand,MF,noNorway,161,0,0,0,0.00,0.00,0.00,1998
Claudio Suárez,DF,mxMexico,360,1,0,1,0.25,0.00,0.25,1998
Davor Šuker,FW,hrCroatia,630,6,0,6,0.86,0.00,0.86,1998
Choi Sung-yong,"DF,MF",krKorea Republic,166,0,0,0,0.00,0.00,0.00,1998
Kim Tae-young,DF,krKorea Republic,218,0,0,0,0.00,0.00,0.00,1998
Cláudio Taffarel,GK,brBrazil,660,0,0,0,0.00,0.00,0.00,1998
Nelson Tapia,GK,clChile,360,0,0,0,0.00,0.00,0.00,1998
Michael Tarnat,"DF,MF",deGermany,280,0,0,0,0.00,0.00,0.00,1998
Alphonse Tchami,FW,cmCameroon,51,0,0,0,0.00,0.00,0.00,1998
Nawaf Al-Temyat,MF,saSaudi Arabia,90,0,0,0,0.00,0.00,0.00,1998
Tarek Thabet,DF,tnTunisia,93,0,0,0,0.00,0.00,0.00,1998
Olaf Thon,"DF,MF",deGermany,225,0,1,1,0.00,0.40,0.40,1998
Yousuf Al-Thunayan,MF,saSaudi Arabia,87,1,0,1,1.03,0.00,1.03,1998
Lilian Thuram,DF,frFrance,600,2,0,2,0.30,0.00,0.30,1998
Hatem Trabelsi,DF,tnTunisia,78,0,0,0,0.00,0.00,0.00,1998
Sami Trabelsi,DF,tnTunisia,270,0,0,0,0.00,0.00,0.00,1998
David Trezeguet,FW,frFrance,351,1,1,2,0.26,0.26,0.51,1998
Smahi Triki,DF,maMorocco,90,0,0,0,0.00,0.00,0.00,1998
Igor Tudor,DF,hrCroatia,17,0,0,0,0.00,0.00,0.00,1998
Stig Tøfting,MF,dkDenmark,61,0,0,0,0.00,0.00,0.00,1998
Carlos Valderrama,MF,coColombia,270,0,1,1,0.00,0.33,0.33,1998
Adolfo Valencia,FW,coColombia,145,0,0,0,0.00,0.00,0.00,1998
Franky Van der Elst,MF,beBelgium,182,0,0,0,0.00,0.00,0.00,1998
Nico Van Kerckhoven,"DF,FW",beBelgium,90,0,0,0,0.00,0.00,0.00,1998
Philippe Vande Walle,GK,beBelgium,90,0,0,0,0.00,0.00,0.00,1998
Ivica Vastić,"FW,MF",atAustria,117,1,0,1,0.77,0.00,0.77,1998
Marcelo Vega,"FW,MF",clChile,45,0,0,0,0.00,0.00,0.00,1998
Gert Verheyen,"FW,MF",beBelgium,37,0,0,0,0.00,0.00,0.00,1998
Mike Verstraeten,DF,beBelgium,90,0,0,0,0.00,0.00,0.00,1998
Gordan Vidović,DF,beBelgium,180,0,0,0,0.00,0.00,0.00,1998
Patrick Vieira,MF,frFrance,107,0,1,1,0.00,0.84,0.84,1998
Christian Vieri,FW,itItaly,429,5,0,5,1.05,0.00,1.05,1998
Germán Villa,MF,mxMexico,214,0,1,1,0.00,0.42,0.42,1998
Moisés Villarroel,"DF,MF",clChile,227,0,0,0,0.00,0.00,0.00,1998
Nelson Vivas,DF,arArgentina,366,0,0,0,0.00,0.00,0.00,1998
Goran Vlaović,FW,hrCroatia,365,1,0,1,0.25,0.00,0.25,1998
Hans Vonk,GK,zaSouth Africa,270,0,0,0,0.00,0.00,0.00,1998
Roy Wegerle,"FW,MF",usUnited States,82,0,0,0,0.00,0.00,0.00,1998
David Weir,DF,sctScotland,122,0,1,1,0.00,0.74,0.74,1998
Taribo West,DF,ngNigeria,360,0,0,0,0.00,0.00,0.00,1998
Arnold Wetl,MF,atAustria,270,0,0,0,0.00,0.00,0.00,1998
Theodore Whitmore,MF,jmJamaica,252,2,0,2,0.71,0.00,0.71,1998
Morten Wieghorst,MF,dkDenmark,67,0,0,0,0.00,0.00,0.00,1998
Andy Williams,MF,jmJamaica,17,0,0,0,0.00,0.00,0.00,1998
Marc Wilmots,"FW,MF",beBelgium,270,2,0,2,0.67,0.00,0.67,1998
Aron Winter,MF,nlNetherlands,266,0,1,1,0.00,0.34,0.34,1998
Pierre Womé,DF,cmCameroon,270,0,0,0,0.00,0.00,0.00,1998
Christian Wörns,DF,deGermany,399,0,0,0,0.00,0.00,0.00,1998
Eric Wynalda,FW,usUnited States,91,0,0,0,0.00,0.00,0.00,1998
Motohiro Yamaguchi,"DF,MF",jpJapan,270,0,0,0,0.00,0.00,0.00,1998
Zlatko Yankov,"DF,MF",bgBulgaria,173,0,0,0,0.00,0.00,0.00,1998
Rashidi Yekini,FW,ngNigeria,153,0,0,0,0.00,0.00,0.00,1998
Choi Yong-soo,FW,krKorea Republic,142,0,0,0,0.00,0.00,0.00,1998
Ivaylo Yordanov,"FW,MF",bgBulgaria,180,0,0,0,0.00,0.00,0.00,1998
Choi Young-il,DF,krKorea Republic,90,0,0,0,0.00,0.00,0.00,1998
Iván Zamorano,FW,clChile,360,0,0,0,0.00,0.00,0.00,1998
Javier Zanetti,"DF,MF",arArgentina,456,1,0,1,0.20,0.00,0.20,1998
Javad Zarincheh,DF,irIR Iran,235,0,1,1,0.00,0.38,0.38,1998
Zdravko Zdravkov,GK,bgBulgaria,270,0,0,0,0.00,0.00,0.00,1998
Boudewijn Zenden,"DF,FW",nlNetherlands,197,1,0,1,0.46,0.00,0.46,1998
Zinédine Zidane,MF,frFrance,460,2,1,3,0.39,0.20,0.59,1998
Christian Ziege,"DF,MF",deGermany,155,0,0,0,0.00,0.00,0.00,1998
Andoni Zubizarreta,GK,esSpain,270,0,0,0,0.00,0.00,0.00,1998
Abdullah Zubromawi,DF,saSaudi Arabia,270,0,0,0,0.00,0.00,0.00,1998
Egil Østenstad,FW,noNorway,20,0,0,0,0.00,0.00,0.00,1998
Goran Đorović,DF,rsYugoslavia,360,0,0,0,0.00,0.00,0.00,1998
Hussein Abdulghani,DF,saSaudi Arabia,270,0,,,0.00,,,2002
Sebastián Abreu,FW,uyUruguay,222,0,,,0.00,,,2002
Milenko Ačimovič,MF,siSlovenia,148,1,,,0.61,,,2002
Roberto Acuña,MF,pyParaguay,359,0,,,0.00,,,2002
Julius Aghahowa,FW,ngNigeria,270,1,,,0.33,,,2002
Jeff Agoos,DF,usUnited States,215,0,,,0.00,,,2002
Álex Aguinaga,MF,ecEcuador,129,0,,,0.00,,,2002
Pablo Aimar,MF,arArgentina,148,0,,,0.00,,,2002
Benedict Akwuegbu,FW,ngNigeria,90,0,,,0.00,,,2002
Fatih Akyel,DF,trTürkiye,660,0,,,0.00,,,2002
David Albelda,"DF,MF",esSpain,101,0,,,0.00,,,2002
Dmitri Alenichev,MF,ruRussia,103,0,,,0.00,,,2002
Niclas Alexandersson,MF,seSweden,345,1,,,0.26,,,2002
Marcus Allbäck,FW,seSweden,251,0,,,0.00,,,2002
Matías Almeyda,"DF,MF",arArgentina,62,0,,,0.00,,,2002
Guido Alvarenga,MF,pyParaguay,117,0,,,0.00,,,2002
Andreas Andersson,FW,seSweden,139,0,,,0.00,,,2002
Jorge Andrade,DF,ptPortugal,40,0,,,0.00,,,2002
Miguel Ángel Nadal,"DF,MF",esSpain,390,0,,,0.00,,,2002
Francisco Arce,DF,pyParaguay,360,1,,,0.25,,,2002
Jesús Arellano,MF,mxMexico,270,0,,,0.00,,,2002
Andre Arendse,GK,zaSouth Africa,270,0,,,0.00,,,2002
Gerald Asamoah,"FW,MF",deGermany,18,0,,,0.00,,,2002
Nicolás Asencio,FW,ecEcuador,6,0,,,0.00,,,2002
Emre Aşık,DF,trTürkiye,180,0,,,0.00,,,2002
Celso Ayala,DF,pyParaguay,360,0,,,0.00,,,2002
Marlon Ayoví,MF,ecEcuador,178,0,,,0.00,,,2002
Celestine Babayaro,"DF,MF",ngNigeria,154,0,,,0.00,,,2002
Khaled Badra,DF,tnTunisia,263,0,,,0.00,,,2002
Vítor Baía,GK,ptPortugal,270,0,,,0.00,,,2002
Arkadiusz Bąk,MF,plPoland,74,0,,,0.00,,,2002
Jacek Bąk,DF,plPoland,49,0,,,0.00,,,2002
Michael Ballack,MF,deGermany,540,3,,,0.50,,,2002
Rubén Baraja,MF,esSpain,420,0,,,0.00,,,2002
Fabien Barthez,GK,frFrance,270,0,,,0.00,,,2002
Yıldıray Baştürk,MF,trTürkiye,593,0,,,0.00,,,2002
Gabriel Batistuta,FW,arArgentina,196,1,,,0.46,,,2002
Frank Baumann,"DF,MF",deGermany,45,0,,,0.00,,,2002
Zoubeir Baya,MF,tnTunisia,72,0,,,0.00,,,2002
DaMarcus Beasley,"DF,FW",usUnited States,219,0,,,0.00,,,2002
David Beckham,MF,engEngland,422,1,,,0.21,,,2002
Juliano Belletti,"DF,MF",brBrazil,6,0,,,0.00,,,2002
Emre Belözoğlu,MF,trTürkiye,461,1,,,0.20,,,2002
Selim Benachour,MF,tnTunisia,270,0,,,0.00,,,2002
Paulo Bento,MF,ptPortugal,202,0,,,0.00,,,2002
Gregg Berhalter,DF,usUnited States,180,0,,,0.00,,,2002
Vladimir Beschastnykh,"FW,MF",ruRussia,178,1,,,0.51,,,2002
Beto,DF,ptPortugal,183,1,,,0.49,,,2002
Habib Beye,DF,snSenegal,91,0,,,0.00,,,2002
Oliver Bierhoff,FW,deGermany,81,1,,,1.11,,,2002
Cuauhtémoc Blanco,FW,mxMexico,347,1,,,0.26,,,2002
Qu Bo,"FW,MF",cnChina PR,99,0,,,0.00,,,2002
Marco Bode,"FW,MF",deGermany,325,1,,,0.28,,,2002
Alen Bokšić,FW,hrCroatia,246,0,,,0.00,,,2002
Carlos Bonet,"DF,MF",pyParaguay,83,0,,,0.00,,,2002
Jared Borgetti,FW,mxMexico,312,2,,,0.58,,,2002
Riadh Bouazizi,MF,tnTunisia,270,0,,,0.00,,,2002
Papa Bouba Diop,"DF,MF",snSenegal,510,2,,,0.35,,,2002
Alioum Boukar,GK,cmCameroon,270,0,,,0.00,,,2002
Ali Boumnijel,GK,tnTunisia,270,0,,,0.00,,,2002
Raouf Bouzaiene,"DF,MF",tnTunisia,257,1,,,0.35,,,2002
Gary Breen,DF,ieRep. of Ireland,390,1,,,0.23,,,2002
Wayne Bridge,DF,engEngland,17,0,,,0.00,,,2002
Steven Bryce,MF,crCosta Rica,80,0,,,0.00,,,2002
Delron Buckley,"FW,MF",zaSouth Africa,20,0,,,0.00,,,2002
Gianluigi Buffon,GK,itItaly,390,0,,,0.00,,,2002
Spasoje Bulajič,DF,siSlovenia,121,0,,,0.00,,,2002
Okan Buruk,MF,trTürkiye,15,0,,,0.00,,,2002
Nicky Butt,"DF,MF",engEngland,360,0,,,0.00,,,2002
Kasper Bøgelund,DF,dkDenmark,99,0,,,0.00,,,2002
Gabriel Caballero,"FW,MF",mxMexico,109,0,,,0.00,,,2002
Cafú,DF,brBrazil,630,0,,,0.00,,,2002
Henri Camara,FW,snSenegal,351,2,,,0.51,,,2002
Souleymane Camara,FW,snSenegal,37,0,,,0.00,,,2002
Sol Campbell,"DF,FW",engEngland,450,1,,,0.20,,,2002
Vincent Candela,"DF,MF",frFrance,165,0,,,0.00,,,2002
Denis Caniza,DF,pyParaguay,347,0,,,0.00,,,2002
Fabio Cannavaro,DF,itItaly,270,0,,,0.00,,,2002
Capucho,MF,ptPortugal,22,0,,,0.00,,,2002
José Cardozo,FW,pyParaguay,212,0,,,0.00,,,2002
Fabián Carini,GK,uyUruguay,270,0,,,0.00,,,2002
Juan Carlos Franco,MF,pyParaguay,6,0,,,0.00,,,2002
Roberto Carlos,DF,brBrazil,540,1,,,0.17,,,2002
Juan Carlos Valerón,MF,esSpain,373,1,,,0.24,,,2002
Salvador Carmona,DF,mxMexico,360,0,,,0.00,,,2002
Bradley Carnell,"DF,MF",zaSouth Africa,270,0,,,0.00,,,2002
Lee Carsley,MF,ieRep. of Ireland,2,0,,,0.00,,,2002
Iker Casillas,GK,esSpain,510,0,,,0.00,,,2002
Carlos Castro Mora,"DF,MF",crCosta Rica,270,0,,,0.00,,,2002
Ömer Çatkıç,GK,trTürkiye,56,0,,,0.00,,,2002
Pablo Cavallero,GK,arArgentina,270,0,,,0.00,,,2002
Aleš Čeh,MF,siSlovenia,270,0,,,0.00,,,2002
Nastja Čeh,MF,siSlovenia,50,0,,,0.00,,,2002
Walter Centeno,MF,crCosta Rica,245,0,,,0.00,,,2002
Julio César Cáceres,DF,pyParaguay,360,0,,,0.00,,,2002
Cléber Chalá,MF,ecEcuador,264,0,,,0.00,,,2002
José Chamot,DF,arArgentina,90,0,,,0.00,,,2002
Yang Chen,"FW,MF",cnChina PR,137,0,,,0.00,,,2002
Wu Chengying,DF,cnChina PR,225,0,,,0.00,,,2002
Song Chong-gug,"DF,MF",krKorea Republic,690,1,,,0.13,,,2002
Justice Christopher,MF,ngNigeria,198,0,,,0.00,,,2002
Lee Chun-soo,"FW,MF",krKorea Republic,378,0,,,0.00,,,2002
Sebastjan Cimirotič,FW,siSlovenia,164,1,,,0.55,,,2002
Aliou Cissé,"DF,MF",snSenegal,420,0,,,0.00,,,2002
Djibril Cissé,FW,frFrance,57,0,,,0.00,,,2002
José Clayton,DF,tnTunisia,60,0,,,0.00,,,2002
Francesco Coco,DF,itItaly,148,0,,,0.00,,,2002
Ashley Cole,DF,engEngland,439,0,,,0.00,,,2002
Joe Cole,MF,engEngland,17,0,,,0.00,,,2002
Ferdinand Coly,DF,snSenegal,482,0,,,0.00,,,2002
Sérgio Conceição,MF,ptPortugal,248,0,,,0.00,,,2002
David Connolly,FW,ieRep. of Ireland,39,0,,,0.00,,,2002
Jorge Costa,DF,ptPortugal,252,0,,,0.00,,,2002
Rui Costa,MF,ptPortugal,110,1,,,0.82,,,2002
Fernando Couto,DF,ptPortugal,270,0,,,0.00,,,2002
Hernán Crespo,FW,arArgentina,74,1,,,1.22,,,2002
Nelson Cuevas,FW,pyParaguay,30,2,,,6.00,,,2002
Kenny Cunningham,DF,ieRep. of Ireland,75,0,,,0.00,,,2002
Mladen Dabanovič,GK,siSlovenia,90,0,,,0.00,,,2002
Omar Daf,DF,snSenegal,510,0,,,0.00,,,2002
Jon Dahl Tomasson,"FW,MF",dkDenmark,360,4,,,1.00,,,2002
Ümit Davala,"DF,MF",trTürkiye,546,2,,,0.33,,,2002
Glen De Boeck,DF,beBelgium,179,0,,,0.00,,,2002
Geert De Vlieger,GK,beBelgium,360,0,,,0.00,,,2002
Mohamed Al-Deayea,GK,saSaudi Arabia,270,0,,,0.00,,,2002
Éric Deflandre,DF,beBelgium,90,0,,,0.00,,,2002
Alessandro Del Piero,"FW,MF",itItaly,90,1,,,1.00,,,2002
Agustín Delgado,FW,ecEcuador,270,1,,,0.33,,,2002
Denílson,MF,brBrazil,120,0,,,0.00,,,2002
Marcel Desailly,"DF,MF",frFrance,270,0,,,0.00,,,2002
Luigi Di Biagio,MF,itItaly,68,0,,,0.00,,,2002
Angelo Di Livio,"DF,MF",itItaly,76,0,,,0.00,,,2002
Salif Diao,MF,snSenegal,289,1,,,0.31,,,2002
Lamine Diatta,DF,snSenegal,510,0,,,0.00,,,2002
Youri Djorkaeff,"FW,MF",frFrance,67,0,,,0.00,,,2002
Ahmed Dokhi,DF,saSaudi Arabia,102,0,,,0.00,,,2002
Cristiano Doni,MF,itItaly,141,0,,,0.00,,,2002
Landon Donovan,"FW,MF",usUnited States,434,2,,,0.41,,,2002
Abdullah Jumaan Al-Dosari,FW,saSaudi Arabia,56,0,,,0.00,,,2002
Khamis Al-Dosari,MF,saSaudi Arabia,135,0,,,0.00,,,2002
Obeid Al-Dosari,"DF,FW",saSaudi Arabia,34,0,,,0.00,,,2002
Cha Du-ri,"DF,MF",krKorea Republic,156,0,,,0.00,,,2002
Jerzy Dudek,GK,plPoland,180,0,,,0.00,,,2002
Damien Duff,"FW,MF",ieRep. of Ireland,390,1,,,0.23,,,2002
Christophe Dugarry,"FW,MF",frFrance,85,0,,,0.00,,,2002
Kieron Dyer,MF,engEngland,105,0,,,0.00,,,2002
Edílson,FW,brBrazil,170,0,,,0.00,,,2002
Edmílson,"DF,MF",brBrazil,540,1,,,0.17,,,2002
Luis Enrique,"FW,MF",esSpain,288,0,,,0.00,,,2002
Vincent Enyeama,GK,ngNigeria,90,0,,,0.00,,,2002
Arif Erdem,FW,trTürkiye,39,0,,,0.00,,,2002
Samuel Eto'o,FW,cmCameroon,270,1,,,0.33,,,2002
Lee Eul-yong,MF,krKorea Republic,333,1,,,0.27,,,2002
Khalilou Fadiga,MF,snSenegal,390,1,,,0.23,,,2002
Amdy Faye,"DF,MF",snSenegal,135,0,,,0.00,,,2002
Rio Ferdinand,DF,engEngland,450,1,,,0.20,,,2002
Luís Figo,"FW,MF",ptPortugal,270,0,,,0.00,,,2002
Steve Finnan,DF,ieRep. of Ireland,345,0,,,0.00,,,2002
Marc-Vivien Foé,MF,cmCameroon,270,0,,,0.00,,,2002
Rolando Fonseca,FW,crCosta Rica,82,0,,,0.00,,,2002
Diego Forlán,"FW,MF",uyUruguay,45,1,,,2.00,,,2002
Quinton Fortune,MF,zaSouth Africa,255,1,,,0.35,,,2002
Robbie Fowler,FW,engEngland,45,0,,,0.00,,,2002
José Francisco Cevallos,GK,ecEcuador,270,0,,,0.00,,,2002
Nuno Frechaut,"DF,MF",ptPortugal,62,0,,,0.00,,,2002
Brad Friedel,GK,usUnited States,450,0,,,0.00,,,2002
Torsten Frings,MF,deGermany,630,0,,,0.00,,,2002
Takashi Fukunishi,MF,jpJapan,6,0,,,0.00,,,2002
Hassen Gabsi,"FW,MF",tnTunisia,132,0,,,0.00,,,2002
Saša Gajser,MF,siSlovenia,14,0,,,0.00,,,2002
Marinko Galič,DF,siSlovenia,90,0,,,0.00,,,2002
Carlos Gamarra,DF,pyParaguay,360,0,,,0.00,,,2002
Alberto García Aspe,MF,mxMexico,13,0,,,0.00,,,2002
Pablo García,"DF,MF",uyUruguay,270,0,,,0.00,,,2002
Rafael García Torres,MF,mxMexico,15,0,,,0.00,,,2002
Gennaro Gattuso,MF,itItaly,82,0,,,0.00,,,2002
Diego Gavilán,"DF,MF",pyParaguay,122,0,,,0.00,,,2002
Yu Genwei,"FW,MF",cnChina PR,35,0,,,0.00,,,2002
Geremi,"DF,MF",cmCameroon,270,0,,,0.00,,,2002
Kaies Ghodhbane,MF,tnTunisia,180,0,,,0.00,,,2002
Shay Given,GK,ieRep. of Ireland,390,0,,,0.00,,,2002
Nuno Gomes,FW,ptPortugal,25,0,,,0.00,,,2002
Rónald Gómez,FW,crCosta Rica,270,2,,,0.67,,,2002
Kily González,"FW,MF",arArgentina,136,0,,,0.00,,,2002
Bart Goor,MF,beBelgium,360,0,,,0.00,,,2002
Thomas Gravesen,MF,dkDenmark,331,0,,,0.00,,,2002
Jesper Grønkjær,"FW,MF",dkDenmark,253,0,,,0.00,,,2002
Raúl Guerrón,"DF,MF",ecEcuador,270,0,,,0.00,,,2002
Gianni Guigou,MF,uyUruguay,109,0,,,0.00,,,2002
Arkadiusz Głowacki,DF,plPoland,90,0,,,0.00,,,2002
El Hadji Diouf,"FW,MF",snSenegal,510,0,,,0.00,,,2002
Hao Haidong,FW,cnChina PR,236,0,,,0.00,,,2002
Tomasz Hajto,DF,plPoland,180,0,,,0.00,,,2002
Dietmar Hamann,MF,deGermany,540,0,,,0.00,,,2002
Owen Hargreaves,MF,engEngland,108,0,,,0.00,,,2002
Ian Harte,DF,ieRep. of Ireland,274,0,,,0.00,,,2002
Toshihiro Hattori,"DF,MF",jpJapan,16,0,,,0.00,,,2002
Tayfur Havutçu,MF,trTürkiye,18,0,,,0.00,,,2002
Magnus Hedman,GK,seSweden,390,0,,,0.00,,,2002
Jan Heintze,DF,dkDenmark,147,0,,,0.00,,,2002
Frankie Hejduk,"DF,MF",usUnited States,334,0,,,0.00,,,2002
Iván Helguera,"DF,MF",esSpain,364,0,,,0.00,,,2002
Thomas Helveg,DF,dkDenmark,276,0,,,0.00,,,2002
René Henriksen,DF,dkDenmark,360,0,,,0.00,,,2002
Thierry Henry,FW,frFrance,114,0,,,0.00,,,2002
Luis Hernández,FW,mxMexico,100,0,,,0.00,,,2002
Emile Heskey,FW,engEngland,369,1,,,0.24,,,2002
Fernando Hierro,"DF,MF",esSpain,420,2,,,0.43,,,2002
Matt Holland,MF,ieRep. of Ireland,390,1,,,0.23,,,2002
Qi Hong,MF,cnChina PR,65,0,,,0.00,,,2002
Iván Hurtado,DF,ecEcuador,270,0,,,0.00,,,2002
Zlatan Ibrahimović,FW,seSweden,48,0,,,0.00,,,2002
Daisuke Ichikawa,"DF,MF",jpJapan,175,0,,,0.00,,,2002
Pius Ikedia,MF,ngNigeria,69,0,,,0.00,,,2002
Junichi Inamoto,MF,jpJapan,264,2,,,0.68,,,2002
Filippo Inzaghi,FW,itItaly,66,0,,,0.00,,,2002
Pierre Issa,DF,zaSouth Africa,26,0,,,0.00,,,2002
Mark Iuliano,DF,itItaly,120,0,,,0.00,,,2002
Marat Izmailov,MF,ruRussia,128,0,,,0.00,,,2002
Muzzy Izzet,MF,trTürkiye,17,0,,,0.00,,,2002
Sami Al-Jaber,FW,saSaudi Arabia,90,0,,,0.00,,,2002
Mohammed Al-Jahani,DF,saSaudi Arabia,168,0,,,0.00,,,2002
Radhi Jaïdi,DF,tnTunisia,270,0,,,0.00,,,2002
Andreas Jakobsson,"DF,MF",seSweden,390,0,,,0.00,,,2002
Carsten Jancker,FW,deGermany,185,1,,,0.49,,,2002
Robert Jarni,"DF,FW",hrCroatia,270,0,,,0.00,,,2002
Ziad Jaziri,FW,tnTunisia,256,0,,,0.00,,,2002
Claus Jensen,MF,dkDenmark,33,0,,,0.00,,,2002
Niclas Jensen,DF,dkDenmark,213,0,,,0.00,,,2002
Jens Jeremies,MF,deGermany,261,0,,,0.00,,,2002
Park Ji-sung,MF,krKorea Republic,637,1,,,0.14,,,2002
Shao Jiayi,MF,cnChina PR,37,0,,,0.00,,,2002
Sun Jihai,DF,cnChina PR,25,0,,,0.00,,,2002
Jiang Jin,GK,cnChina PR,270,0,,,0.00,,,2002
Choi Jin-cheul,DF,krKorea Republic,565,0,,,0.00,,,2002
Joaquín,"FW,MF",esSpain,210,0,,,0.00,,,2002
Joseph-Désiré Job,"FW,MF",cmCameroon,11,0,,,0.00,,,2002
Cobi Jones,"FW,MF",usUnited States,106,0,,,0.00,,,2002
Mattias Jonson,"FW,MF",seSweden,45,0,,,0.00,,,2002
Rui Jorge,DF,ptPortugal,230,0,,,0.00,,,2002
Juanfran,DF,esSpain,291,0,,,0.00,,,2002
Ahn Jung-hwan,"FW,MF",krKorea Republic,532,2,,,0.34,,,2002
Júnior,"DF,MF",brBrazil,90,1,,,1.00,,,2002
Roque Júnior,DF,brBrazil,540,0,,,0.00,,,2002
Zhao Junzhe,MF,cnChina PR,180,0,,,0.00,,,2002
Martin Jørgensen,MF,dkDenmark,107,0,,,0.00,,,2002
Oliver Kahn,GK,deGermany,630,0,,,0.00,,,2002
Nihat Kahveci,FW,trTürkiye,29,0,,,0.00,,,2002
Kaká,"FW,MF",brBrazil,19,0,,,0.00,,,2002
Raymond Kalla,DF,cmCameroon,270,0,,,0.00,,,2002
Nwankwo Kanu,FW,ngNigeria,73,0,,,0.00,,,2002
Amir Karić,"DF,MF",siSlovenia,270,0,,,0.00,,,2002
Valeri Karpin,MF,ruRussia,261,1,,,0.34,,,2002
Iván Kaviedes,FW,ecEcuador,67,0,,,0.00,,,2002
Radosław Kałużny,MF,plPoland,79,0,,,0.00,,,2002
Robbie Keane,FW,ieRep. of Ireland,390,3,,,0.69,,,2002
Sebastian Kehl,"DF,MF",deGermany,135,0,,,0.00,,,2002
Gary Kelly,DF,ieRep. of Ireland,295,0,,,0.00,,,2002
Tugay Kerimoğlu,MF,trTürkiye,647,0,,,0.00,,,2002
Aleksandr Kerzhakov,FW,ruRussia,9,0,,,0.00,,,2002
Abdulaziz Khathran,DF,saSaudi Arabia,196,0,,,0.00,,,2002
Dmitri Khokhlov,MF,ruRussia,174,0,,,0.00,,,2002
Seol Ki-hyeon,"FW,MF",krKorea Republic,597,1,,,0.15,,,2002
Kevin Kilbane,"DF,MF",ieRep. of Ireland,390,0,,,0.00,,,2002
Mark Kinsella,MF,ieRep. of Ireland,388,0,,,0.00,,,2002
José Kléberson,MF,brBrazil,308,0,,,0.00,,,2002
Miroslav Klose,FW,deGermany,561,5,,,0.80,,,2002
Aleksander Knavs,DF,siSlovenia,149,0,,,0.00,,,2002
Bülent Korkmaz,DF,trTürkiye,545,1,,,0.17,,,2002
