player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Granit Xhaka,MF,chSwitzerland,360,1,0,1,0.25,0.00,0.25,2018
Hotaru Yamaguchi,MF,jpJapan,111,0,0,0,0.00,0.00,0.00,2018
Go Yo-han,"DF,FW",krKorea Republic,12,0,0,0,0.00,0.00,0.00,2018
Lee Yong,DF,krKorea Republic,270,0,0,0,0.00,0.00,0.00,2018
Maya Yoshida,DF,jpJapan,360,0,0,0,0.00,0.00,0.00,2018
Yoshimar Yotún,MF,pePeru,180,0,0,0,0.00,0.00,0.00,2018
Ashley Young,MF,engEngland,461,0,1,1,0.00,0.20,0.20,2018
Kim Young-gwon,DF,krKorea Republic,270,1,0,1,0.33,0.00,0.33,2018
Yun Young-sun,DF,krKorea Republic,90,0,0,0,0.00,0.00,0.00,2018
Denis Zakaria,"DF,MF",chSwitzerland,52,0,1,1,0.00,1.73,1.73,2018
Cristián Zapata,DF,coColombia,5,0,0,0,0.00,0.00,0.00,2018
Yuri Zhirkov,DF,ruRussia,220,0,0,0,0.00,0.00,0.00,2018
Piotr Zieliński,"FW,MF",plPoland,258,0,0,0,0.00,0.00,0.00,2018
Andrija Živković,"FW,MF",rsSerbia,16,0,0,0,0.00,0.00,0.00,2018
Hakim Ziyech,MF,maMorocco,264,0,0,0,0.00,0.00,0.00,2018
Roman Zobnin,MF,ruRussia,510,0,1,1,0.00,0.18,0.18,2018
Steven Zuber,MF,chSwitzerland,251,1,0,1,0.36,0.00,0.36,2018
Hannes Þór Halldórsson,GK,isIceland,270,0,0,0,0.00,0.00,0.00,2018
Brenden Aaronson,"FW,MF",usUnited States,108,0,0,0,0.00,0.00,0.00,2022
Ali Abdi,MF,tnTunisia,188,0,0,0,0.00,0.00,0.00,2022
Salis Abdul Samed,MF,ghGhana,250,0,0,0,0.00,0.00,0.00,2022
Saud Abdulhamid,"DF,MF",saSaudi Arabia,270,0,0,0,0.00,0.00,0.00,2022
Nawaf Al Abed,"FW,MF",saSaudi Arabia,88,0,0,0,0.00,0.00,0.00,2022
Pape Abou Cissé,DF,snSenegal,105,0,0,0,0.00,0.00,0.00,2022
Vincent Aboubakar,FW,cmCameroon,142,2,1,3,1.27,0.63,1.90,2022
Abdulrahman Al-Aboud,MF,saSaudi Arabia,35,0,0,0,0.00,0.00,0.00,2022
Zakaria Aboukhlal,"FW,MF",maMorocco,79,1,0,1,1.14,0.00,1.14,2022
Kellyn Acosta,"DF,MF",usUnited States,43,0,0,0,0.00,0.00,0.00,2022
Marcos Acuña,"DF,MF",arArgentina,373,0,0,0,0.00,0.00,0.00,2022
Tyler Adams,MF,usUnited States,360,0,0,0,0.00,0.00,0.00,2022
Sam Adekugbe,DF,caCanada,95,0,0,0,0.00,0.00,0.00,2022
Michel Aebischer,MF,chSwitzerland,16,0,0,0,0.00,0.00,0.00,2022
Akram Afif,FW,qaQatar,270,0,0,0,0.00,0.00,0.00,2022
Nayef Aguerd,DF,maMorocco,353,0,0,0,0.00,0.00,0.00,2022
Brandon Aguilera,MF,crCosta Rica,90,0,0,0,0.00,0.00,0.00,2022
Homam Ahmed,"DF,MF",qaQatar,262,0,0,0,0.00,0.00,0.00,2022
Manuel Akanji,DF,chSwitzerland,360,1,0,1,0.25,0.00,0.25,2022
Nathan Aké,DF,nlNetherlands,479,0,0,0,0.00,0.00,0.00,2022
Ahmed Alaaeldin,FW,qaQatar,6,0,0,0,0.00,0.00,0.00,2022
Jordi Alba,DF,esSpain,264,0,2,2,0.00,0.68,0.68,2022
Toby Alderweireld,DF,beBelgium,270,0,1,1,0.00,0.33,0.33,2022
Trent Alexander-Arnold,"DF,MF",engEngland,34,0,0,0,0.00,0.00,0.00,2022
Almoez Ali,FW,qaQatar,224,0,0,0,0.00,0.00,0.00,2022
Alisson,GK,brBrazil,379,0,0,0,0.00,0.00,0.00,2022
Joe Allen,MF,wlsWales,94,0,0,0,0.00,0.00,0.00,2022
Thiago Almada,"FW,MF",arArgentina,7,0,0,0,0.00,0.00,0.00,2022
Roberto Alvarado,"FW,MF",mxMexico,18,0,0,0,0.00,0.00,0.00,2022
Edson Álvarez,MF,mxMexico,175,0,0,0,0.00,0.00,0.00,2022
Julián Álvarez,FW,arArgentina,464,4,0,4,0.78,0.00,0.78,2022
Kevin Álvarez,DF,mxMexico,70,0,0,0,0.00,0.00,0.00,2022
Dani Alves,DF,brBrazil,118,0,0,0,0.00,0.00,0.00,2022
Selim Amallah,MF,maMorocco,409,0,0,0,0.00,0.00,0.00,2022
Daniel Amartey,DF,ghGhana,251,0,0,0,0.00,0.00,0.00,2022
Ethan Ampadu,MF,wlsWales,255,0,0,0,0.00,0.00,0.00,2022
Sofyan Amrabat,MF,maMorocco,660,0,0,0,0.00,0.00,0.00,2022
Abdulelah Al-Amri,DF,saSaudi Arabia,182,0,0,0,0.00,0.00,0.00,2022
Joachim Andersen,DF,dkDenmark,270,0,1,1,0.00,0.33,0.33,2022
Karim Ansarifard,FW,irIR Iran,35,0,0,0,0.00,0.00,0.00,2022
Antony,MF,brBrazil,172,0,0,0,0.00,0.00,0.00,2022
Uriel Antuna,"FW,MF",mxMexico,77,0,0,0,0.00,0.00,0.00,2022
Néstor Araujo,DF,mxMexico,90,0,0,0,0.00,0.00,0.00,2022
Giorgian de Arrascaeta,MF,uyUruguay,108,2,0,2,1.67,0.00,1.67,2022
Takuma Asano,"FW,MF",jpJapan,165,1,0,1,0.55,0.00,0.55,2022
Marco Asensio,FW,esSpain,229,1,0,1,0.39,0.00,0.39,2022
Ali Assadalla,"FW,MF",qaQatar,27,0,0,0,0.00,0.00,0.00,2022
Lawrence Ati-Zigi,GK,ghGhana,270,0,0,0,0.00,0.00,0.00,2022
Nathaniel Atkinson,DF,auAustralia,84,0,0,0,0.00,0.00,0.00,2022
Yahya Attiat Allah,DF,maMorocco,318,0,1,1,0.00,0.28,0.28,2022
André Ayew,"MF,FW",ghGhana,198,1,0,1,0.45,0.00,0.45,2022
Jordan Ayew,MF,ghGhana,136,0,1,1,0.00,0.66,0.66,2022
